lemmas,onerilen_konular
"['şifre', 'yenile', 'sürekli', 'hata']","['şifre yenile', 'şifre', 'sürekli hata', 'hata', 'sürekli']"
"['kesinlikle', 'tavsiye', 'hesap', 'doğrula', 'hal', 'süre', 'sonra', 'hesap', 'doğrula', 'mazeret', 'hesap', 'bakiye', 'bloke', 'koy', 'para', 'işle', 'kesinlikle', 'hesap', 'para', 'tut', 'artı', 'alışveriş', 'iade', 'hesap', 'artı', 'gözük', 'hesap', 'hemen', 'geç', 'takip', 'iade', 'zannet', 'işlem', 'geçmiş', 'gör', 'kampanya', 'kazan', 'hediye', 'limit', 'hesap', 'yansı', 'kadar', 'kazan', 'bilgi', 'ilet', 'gerek']","['hesap yansı', 'sonra hesap', 'hesap doğrula', 'hesap bakiye', 'hesap para']"
"['türk', 'telekom', 'vodafone', 'hak', 'kere', 'puan', 'saçmala', 'düzel', 'gerek', 'terk', 'aynı', 'şart', 'gerek']","['türk telekom', 'türk', 'puan saçmala', 'telekom', 'gerek terk']"
"['hayat', 'gör', 'kötü', 'kimlik', 'doğrula', 'ara', 'şikayet', 'bil', 'bayi', 'git', 'zaman', 'kimlik', 'doğrula', 'koy', 'berbat', 'tavsiye']","['kötü kimlik', 'berbat tavsiye', 'kimlik doğrula', 'kimlik', 'şikayet bil']"
"['kardeş', 'bak', 'ora', 'mal', 'para', 'çek', 'hak', 'sun', 'eyvallah', 'bak', 'mal', 'harca', 'fatura', 'sadece', 'fatura', 'göster', 'gerek', 'sind', 'göster', 'para', 'katla', 'dolandır', 'başka', 'bil', 'bura', 'güven', 'şey', 'öğrenci', 'adam', 'baba', 'bil', 'böyle', 'kılavuz', 'öyle', 'yaz', 'dava', 'yer', 'değil', 'cidden', 'kır', 'insan']","['şey öğrenci', 'fatura sadece', 'fatura göster', 'göster para', 'sadece fatura']"
"['dolandırıcı', 'bile', 'kadar', 'soy', 'yok', 'böyle', 'soygun', 'alışveriş', 'karekod', 'ücret', 'çıkar', 'ayriyeten', 'karekod', 'işlem', 'ücret', 'çıkar', 'işlem', 'göster', 'fatura', 'ayrıntı', 'göster', 'ücret']","['karekod ücret', 'ücret çıkar', 'ücret', 'işlem ücret', 'göster ücret']"
"['bej', 'saçma', 'sapan', 'turkcell', 'calıstıgı', 'calilmıyor', 'üstelik', 'bile', 'geri', 'odemıyorlar', 'neden', 'değer', 'gıdı', 'salla', 'kazan', 'olay', 'kolay', 'bird', 'asıl', 'hesap', 'onayla', 'zorla', 'papara', 'gıdı', 'geç', 'biraz', 'yeni', 'bırseyler', 'ekle', 'lazım']","['calıstıgı calilmıyor', 'turkcell calıstıgı', 'calilmıyor üstelik', 'turkcell', 'calilmıyor']"
"['kötü', 'herşey', 'kısıt', 'çalış', 'gerek', 'üzerindeinsanı', 'kanser', 'turkcell', 'yakış']","['kanser turkcell', 'çalış gerek', 'turkcell yakış', 'üzerindeinsanı kanser', 'çalış']"
"['kampanya', 'katıl', 'lira', 'iade', 'gerek', 'şart', 'saglamiyorsunuz', 'iade', 'yapilmiyor', 'madem', 'sart', 'saglamiyordum', 'katıl', 'kampanya', 'kısım', 'kampanya', 'var', 'düzel', 'talep', 'bulun', 'ilet', 'ilet', 'ayni', 'şey', 'tekrarlayacaksiniz']","['kampanya katıl', 'kampanya var', 'katıl kampanya', 'kampanya kısım', 'kısım kampanya']"
"['hesap', 'sadece', 'kod', 'hiçbir', 'açıkla', 'kapa', 'oysaki', 'güzel', 'devam', 'iste', 'keşke', 'dinle', 'öyle', 'karar', 'evrak', 'evrak', 'hiçbirşey', 'söyle', 'kapa', 'yazık']","['açıkla kapa', 'söyle kapa', 'sadece kod', 'kod hiçbir', 'hiçbir açıkla']"
"['kendi', 'ibanimdan', 'para', 'yatır', 'güven', 'kart', 'sonra', 'iade', 'talep', 'yatirilmadi', 'defalarca', 'ara', 'rağmen', 'incele', 'süreç', 'saat', 'şahsi', 'para', 'hak', 'tut', 'çevir', 'para', 'hala', 'öde', 'şua', 'savi', 'yol', 'tazminat', 'hazir', 'güven', 'böyle', 'pis', 'yok']","['güven kart', 'şahsi para', 'para yatır', 'hala öde', 'hazir güven']"
"['rezil', 'kar', 'hafta', 'şifre', 'yen', 'çalış', 'müşteri', 'hizmet', 'bağla', 'halt', 'yaramıyolarbloke', 'şifre', 'kabul', 'sadece', 'müşteri', 'hizmet', 'seçenek', 'sun']","['şifre kabul', 'şifre yen', 'hafta şifre', 'şifre', 'sadece müşteri']"
